iter	MultiClass
0	2.575665031
1	2.168181502
2	1.871771352
3	1.650532785
4	1.464222705
5	1.330048847
6	1.190349856
7	1.089739215
8	0.9881389561
9	0.9127523494
10	0.8363774532
11	0.7749476487
12	0.7139145063
13	0.6650197365
14	0.6172289025
15	0.5746922728
16	0.5371925815
17	0.5077092342
18	0.4758689666
19	0.4429246971
20	0.4206872975
21	0.3984592166
22	0.3809332112
23	0.3621955363
24	0.3432931902
25	0.3291094115
26	0.3131716496
27	0.300754481
28	0.2900770558
29	0.2755099646
30	0.2624043251
31	0.2514204774
32	0.2412695695
33	0.2314914686
34	0.222390851
35	0.2142352252
36	0.2068033606
37	0.1993298844
38	0.1912778171
39	0.1856634862
40	0.1792423449
41	0.1740701425
42	0.1688653481
43	0.163438273
44	0.1581984828
45	0.1533342077
46	0.1486060907
47	0.1444304784
48	0.1400522002
49	0.1363643356
