iter	Passed	Remaining
0	47	2328
1	100	2408
2	149	2340
3	199	2291
4	246	2221
5	301	2207
6	358	2201
7	415	2179
8	472	2152
9	516	2065
10	560	1985
11	605	1918
12	651	1853
13	700	1801
14	749	1749
15	797	1694
16	849	1649
17	896	1593
18	943	1538
19	988	1482
20	1034	1428
21	1080	1375
22	1124	1319
23	1175	1273
24	1221	1221
25	1276	1178
26	1324	1128
27	1376	1081
28	1429	1034
29	1486	990
30	1540	944
31	1592	895
32	1644	846
33	1704	802
34	1752	751
35	1802	700
36	1846	648
37	1890	597
38	1938	546
39	1985	496
40	2034	446
41	2084	397
42	2134	347
43	2180	297
44	2224	247
45	2271	197
46	2321	148
47	2370	98
48	2419	49
49	2469	0
